G1	G2	G3	G4	G5	G6	G7	G8	G9
0.7291875	0.2148858	0.6156489	0.1846150	0.4866777	0.8647105	0.2242395	0.3118291	0.3104078
0.6754609	0.1814191	0.5530030	0.2394776	0.5888927	0.7123996	0.1563111	0.3484609	0.3754580
0.6917176	0.1957283	0.4570322	0.2862935	0.5957034	0.6098970	0.1280447	0.2544665	0.4515127
0.6773339	0.2436764	0.4840545	0.2502963	0.6121081	0.8771677	0.0885808	0.2326025	0.2507130
0.6992929	0.1871332	0.4556591	0.2904718	0.6288249	0.6189769	0.0864279	0.2015929	0.3170275
0.6564997	0.1744683	0.4143092	0.2316598	0.5859448	0.8227008	0.0571606	0.0871467	0.3414290
0.8255307	0.1969010	0.3670938	0.3237058	0.7145293	0.7159731	0.0689664	0.0755643	0.3669459
0.5250394	0.2228187	0.3141596	0.3190172	0.6672942	0.3349329	0.2987002	0.0439832	0.3736920
0.5123447	0.1789837	0.3548670	0.2746132	0.5161600	0.0910187	0.3381912	0.0000003	0.3453745
0.3559087	0.2682160	0.8098100	0.2287859	0.5776613	0.7447051	0.4305720	0.8148503	0.2871235
0.5543690	0.2066349	0.6534899	0.1756376	0.6401012	0.8220270	0.3765428	0.6880619	0.3012187
0.5800343	0.1994568	0.6823391	0.3036623	0.6155454	0.9132063	0.3095740	0.7218697	0.3398581
0.5101459	0.2115285	0.8338588	0.2226449	0.4658414	0.7259273	0.3549286	0.7309312	0.4195474
0.5856465	0.1902098	0.6853713	0.2127125	0.5930219	0.8184207	0.3306281	0.6045792	0.2872199
0.5695151	0.3438522	0.7680888	0.2595864	0.4842760	0.7680803	0.3260922	0.7319098	0.3267808
0.6053560	0.2101992	0.7001819	0.1975335	0.5265671	0.8153147	0.3547780	0.5101305	0.2344691
0.6592951	0.1615961	0.7288802	0.1809780	0.6183905	0.6946391	0.2510196	0.4855476	0.2164014
0.5922340	0.1630498	0.6388057	0.1793032	0.7045888	0.7724941	0.2470637	0.5010816	0.2790316
0.6006881	0.2300097	0.6858000	0.2446690	0.6009137	0.8169421	0.2188010	0.4920012	0.3079922
