G1	G2	G3	G4	G5	G6	G7	G8	G9
0.8707033	0.2517649	0.4665922	0.3451986	0.8000003	0.9827552	0.0825459	0.1500000	0.3807174
0.8699660	0.2518564	0.4603183	0.3484674	0.8000000	0.9193481	0.0955218	0.1000000	0.3807583
0.7116888	0.2815563	0.4487765	0.3547340	0.8000000	0.4512124	0.4202380	0.0500000	0.3756974
0.6637576	0.2940849	0.4506442	0.3537503	0.8000000	0.0954834	0.4710630	0.0000000	0.3730715
0.6553823	0.2965036	0.9482483	0.2611469	0.7500659	0.9999907	0.4793624	1.0000000	0.3724997
0.6652155	0.2937569	0.9481662	0.2611690	0.7500084	0.9999886	0.4690501	0.9500000	0.3730320
0.6765904	0.2906234	0.9478130	0.2611953	0.7500030	0.9999858	0.4571514	0.9000000	0.3736806
0.6895925	0.2871641	0.9467374	0.2612449	0.7500011	0.9999822	0.4434311	0.8500000	0.3744102
0.7043183	0.2834260	0.9443858	0.2613453	0.7500004	0.9999774	0.4276234	0.8000000	0.3751884
0.7208135	0.2794607	0.9400660	0.2615328	0.7500001	0.9999707	0.4094476	0.7500000	0.3759893
0.7389695	0.2753691	0.9327180	0.2618743	0.7500001	0.9999615	0.3886359	0.7000000	0.3767549
0.7585415	0.2712235	0.9212406	0.2624251	0.7500001	0.9999483	0.3649575	0.6500000	0.3775046
0.7789616	0.2671678	0.9038532	0.2633069	0.7500001	0.9999289	0.3382873	0.6000000	0.3782137
0.7993869	0.2633372	0.8783156	0.2647070	0.7500000	0.9998995	0.3086707	0.5500000	0.3788995
0.8185596	0.2599783	0.8415021	0.2670295	0.7500000	0.9998532	0.2764499	0.5000000	0.3794526
0.8353062	0.2572002	0.7910005	0.2708918	0.7500000	0.9997767	0.2423175	0.4500000	0.3798991
0.8486468	0.2551036	0.7263701	0.2773616	0.7500001	0.9996435	0.2074226	0.4000000	0.3801996
0.8583207	0.2536152	0.6524393	0.2878133	0.7500001	0.9993939	0.1733030	0.3500000	0.3804368
0.8645946	0.2526699	0.5799948	0.3030308	0.7500001	0.9988817	0.1418220	0.3000000	0.3805891
0.8682289	0.2521280	0.5218343	0.3209060	0.7500001	0.9976941	0.1148852	0.2500000	0.3806788
0.8700932	0.2518505	0.4847893	0.3361952	0.7500001	0.9944205	0.0942881	0.2000000	0.3807271
0.8708567	0.2517426	0.4665983	0.3451953	0.7500004	0.9827552	0.0825459	0.1500000	0.3807208
0.8701199	0.2518340	0.4603242	0.3484641	0.7500000	0.9193481	0.0955218	0.1000000	0.3807616
0.7119316	0.2814981	0.4488041	0.3547184	0.7500000	0.4512124	0.4202380	0.0500000	0.3757087
0.6640273	0.2940085	0.4506751	0.3537328	0.7500000	0.0954834	0.4710630	0.0000000	0.3730881
0.6557647	0.2963967	0.9483251	0.2611446	0.7000791	0.9999907	0.4793624	1.0000000	0.3725187
0.6655939	0.2936510	0.9482532	0.2611657	0.7000101	0.9999886	0.4690501	0.9500000	0.3730536
0.6769602	0.2905235	0.9478942	0.2611920	0.7000036	0.9999858	0.4571514	0.9000000	0.3737012
0.6899522	0.2870711	0.9468100	0.2612418	0.7000013	0.9999822	0.4434311	0.8500000	0.3744291
0.7046664	0.2833404	0.9444486	0.2613425	0.7000005	0.9999774	0.4276234	0.8000000	0.3752055
0.7211486	0.2793828	0.9401190	0.2615304	0.7000002	0.9999707	0.4094476	0.7500000	0.3760044
0.7392902	0.2752989	0.9327620	0.2618722	0.7000002	0.9999615	0.3886359	0.7000000	0.3767680
0.7588466	0.2711608	0.9212766	0.2624233	0.7000002	0.9999483	0.3649575	0.6500000	0.3775159
0.7792507	0.2671122	0.9038823	0.2633053	0.7000002	0.9999289	0.3382873	0.6000000	0.3782235
0.7996598	0.2632879	0.8783388	0.2647056	0.7000001	0.9998995	0.3086707	0.5500000	0.3789078
0.8188173	0.2599345	0.8415209	0.2670282	0.7000001	0.9998532	0.2764499	0.5000000	0.3794598
0.8355506	0.2571607	0.7910159	0.2708904	0.7000001	0.9997767	0.2423175	0.4500000	0.3799054
0.8488807	0.2550673	0.7263832	0.2773600	0.7000002	0.9996435	0.2074226	0.4000000	0.3802053
0.8585469	0.2535811	0.6524505	0.2878113	0.7000002	0.9993939	0.1733030	0.3500000	0.3804420
0.8648158	0.2526371	0.5800048	0.3030282	0.7000002	0.9988817	0.1418220	0.3000000	0.3805941
0.8684473	0.2520960	0.5218435	0.3209025	0.7000002	0.9976941	0.1148852	0.2500000	0.3806836
0.8703100	0.2518189	0.4847980	0.3361911	0.7000002	0.9944205	0.0942881	0.2000000	0.3807318
0.8710730	0.2517112	0.4666068	0.3451908	0.7000005	0.9827552	0.0825459	0.1500000	0.3807255
0.8703367	0.2518024	0.4603327	0.3484595	0.7000000	0.9193481	0.0955218	0.1000000	0.3807663
0.7122737	0.2814162	0.4488428	0.3546966	0.7000000	0.4512124	0.4202380	0.0500000	0.3757247
0.6644073	0.2939010	0.4507185	0.3537082	0.7000000	0.0954834	0.4710630	0.0000000	0.3731114
0.6563152	0.2962439	0.9484325	0.2611415	0.6500923	0.9999907	0.4793624	1.0000000	0.3725453
0.6661397	0.2934988	0.9483770	0.2611612	0.6500118	0.9999886	0.4690501	0.9500000	0.3730842
0.6774937	0.2903797	0.9480102	0.2611874	0.6500042	0.9999858	0.4571514	0.9000000	0.3737306
0.6904711	0.2869371	0.9469140	0.2612374	0.6500015	0.9999822	0.4434311	0.8500000	0.3744564
0.7051686	0.2832170	0.9445388	0.2613386	0.6500005	0.9999774	0.4276234	0.8000000	0.3752301
0.7216320	0.2792705	0.9401951	0.2615270	0.6500002	0.9999707	0.4094476	0.7500000	0.3760261
0.7397528	0.2751977	0.9328252	0.2618692	0.6500002	0.9999615	0.3886359	0.7000000	0.3767870
0.7592870	0.2710704	0.9213283	0.2624207	0.6500002	0.9999483	0.3649575	0.6500000	0.3775323
0.7796676	0.2670320	0.9039242	0.2633031	0.6500002	0.9999289	0.3382873	0.6000000	0.3782375
0.8000534	0.2632170	0.8783723	0.2647036	0.6500001	0.9998995	0.3086707	0.5500000	0.3789197
