G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9402885	0.8788661	0.0514965	0.9974991	0.0687255	0.0758301	0.0048001	0.7798487	0.3025294	0.1000437
0.9402880	0.8788648	0.0509779	0.9976058	0.0687255	0.0758301	0.0048000	0.7798488	0.3025296	0.0000024
0.9402921	0.9644047	0.6608046	0.2061520	0.0687255	0.0758301	0.0036043	0.7798487	0.3025283	1.0000000
0.9402890	0.9525046	0.5765074	0.2313947	0.0687255	0.0758301	0.0036004	0.7798487	0.3025293	0.9000132
0.9402882	0.9277703	0.4784223	0.2857059	0.0687255	0.0758301	0.0036000	0.7798488	0.3025295	0.8000036
0.9402880	0.8964097	0.3723801	0.4055511	0.0687255	0.0758301	0.0036000	0.7798488	0.3025296	0.7000020
0.9402880	0.8825955	0.2686346	0.6268604	0.0687255	0.0758301	0.0036000	0.7798488	0.3025296	0.6000026
0.9402882	0.8801837	0.1795097	0.8575081	0.0687255	0.0758301	0.0036000	0.7798488	0.3025295	0.5000089
0.9402882	0.8798102	0.1142332	0.9644352	0.0687255	0.0758301	0.0036000	0.7798488	0.3025295	0.4000107
0.9402885	0.8797474	0.0750039	0.9910740	0.0687255	0.0758301	0.0036001	0.7798487	0.3025294	0.3000340
0.9402885	0.8797342	0.0568632	0.9964892	0.0687255	0.0758301	0.0036001	0.7798487	0.3025294	0.2000388
0.9402885	0.8797314	0.0514965	0.9974991	0.0687255	0.0758301	0.0036001	0.7798487	0.3025294	0.1000437
0.9402880	0.8797302	0.0509779	0.9976058	0.0687255	0.0758301	0.0036000	0.7798488	0.3025296	0.0000024
0.9402921	0.9652859	0.6608046	0.2061520	0.0687255	0.0758301	0.0024045	0.7798487	0.3025283	1.0000000
0.9402890	0.9533807	0.5765074	0.2313947	0.0687255	0.0758301	0.0024004	0.7798487	0.3025293	0.9000132
0.9402882	0.9286349	0.4784223	0.2857059	0.0687255	0.0758301	0.0024000	0.7798488	0.3025295	0.8000036
0.9402880	0.8972598	0.3723801	0.4055511	0.0687255	0.0758301	0.0024000	0.7798488	0.3025296	0.7000020
0.9402880	0.8834391	0.2686346	0.6268604	0.0687255	0.0758301	0.0024000	0.7798488	0.3025296	0.6000026
0.9402882	0.8810262	0.1795097	0.8575081	0.0687255	0.0758301	0.0024000	0.7798488	0.3025295	0.5000089
